"Version","No","AdvisoryID","Title","Severity","CVSS","Published","CVEs","Link","FixedInfo"
"12.x.x, 11.x.x, 10.3.x","11","VCDSA23678","VMSA-2023-0024:VMware Tools updates address Local Privilege Escalation and SAML Token Signature Bypass vulnerabilities","HIGH","","24 October 2023","CVE-2023-34057; CVE-2023-34058; CVE-2023-20900","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23678","VMware Tools | 12.x.x, 11.x.x, 10.3.x | macOS | CVE-2023-34057 | 7.8 | important | 12.1.1 | None | None<br>VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-34057 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | 12.x.x, 11.x.x, 10.3.x | macOS | CVE-2023-34058 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | 12.x.x, 11.x.x, 10.3.x | Windows | CVE-2023-34058 | 7.1 | important | 12.3.5 | None | None"
"3; 9; 10.1.0","12","VCDSA23494","VMSA-2016-0017:VMware product updates address multiple information disclosure issues","MEDIUM","","23 October 2016","CVE-2016-5328; CVE-2016-5329","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23494","VMware Tools | 3 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 9 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 10.1.0 | N/A | N/A | N/A | N/A | N/A | N/A | "
"12.0.0, 11.x.y and 10.x.y","13","VCDSA23631","VMSA-2022-0015:VMware Tools for Windows update addresses an XML External Entity (XXE) vulnerability","MEDIUM","","22 May 2022","CVE-2022-22977","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23631","VMware Tools for Windows | 12.0.0, 11.x.y and 10.x.y | Windows | CVE-2022-22977 | 5.8 | moderate | 12.0.5 | None | None"
"5","14","VCDSA23412","VMSA-2010-0014:VMware Workstation, Player, and ACE address several security issues.","MEDIUM","","21 September 2010","CVE-2010-3277; CVE-2010-1205; CVE-2010-0205; CVE-2010-2249; CVE-2010-0434; CVE-2010-0425","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23412","VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"12.x.y, 11.x.y and 10.x.y; 10.x.y","15","VCDSA23642","VMSA-2022-0024:VMware Tools update addresses a local privilege escalation vulnerability","HIGH","","21 August 2022","CVE-2022-31676","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23642","VMware Tools | 12.x.y, 11.x.y and 10.x.y | Windows | CVE-2022-31676 | 7.0 | important | 12.1.0 | None | None<br>VMware Tools (open-vm-tools) | 12.x.y, 11.x.y and 10.x.y | Linux | CVE-2022-31676 | 7.0 | important | 12.1.0** | None | None<br>VMware Tools | 10.x.y | Linux | CVE-2022-31676 | 7.0 | important | 10.3.25 | None | None"
"11.3.0; 11.x.y; 10.x.y","16","VCDSA23605","VMSA-2021-0013:VMware Tools, VMRC and VMware App Volumes update addresses a local privilege escalation vulnerability","HIGH","","20 June 2021","CVE-2021-21999","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23605","VMware Tools | 11.3.0 | Any | CVE-2021-21999 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | 11.x.y | Windows | CVE-2021-21999 | 7.8 | important | 11.2.6 | None | None<br>VMware Tools | 10.x.y | Any | CVE-2021-21999 | N/A | N/A | Unaffected | N/A | N/A<br>VMRC for Windows | 12.x | Windows | CVE-2021-21999 | 7.8 | important | 12.0.1 | None | None<br>App Volumes | 4 | Windows | CVE-2021-21999 | 7.8 | important | 2103 | None | None<br>App Volumes | 2.x | Windows | CVE-2021-21999 | 7.8 | important | 2.18.10 | None | None"
"11.x.x and prior","17","VCDSA23580","VMSA-2020-0014:VMware Tools for macOS update addresses a denial-of-service vulnerability","LOW","","16 June 2020","CVE-2020-3972","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23580","VMware Tools for macOS | 11.x.x and prior | macOS | CVE-2020-3972 | 3.3 | low | 11.1.1 | None | None"
"11.x.y and prior","18","VCDSA23603","VMSA-2021-0011:VMware Tools for Windows update addresses a denial-of-service vulnerability","LOW","","15 June 2021","CVE-2021-21997","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23603","VMware Tools for Windows | 11.x.y and prior | Windows | CVE-2021-21997 | 3.3 | low | 11.3.0 | None | None"
"13.0.0.0","19","VCDSA35877","VMSA-2025-0013: VMware ESXi, Workstation, Fusion, and Tools updates address multiple vulnerabilities (CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239)","CRITICAL","6.2-9.3","15 July 2025","CVE-2025-41236; CVE-2025-41237; CVE-2025-41238; CVE-2025-41239","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35877","VMware Cloud Foundation, VMware vSphere Foundation | ESX | 9.0.0.0 | Any | CVE-2025-41236, CVE-2025-41238, CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A<br>ESX | 9.0.0.0 | Any | CVE-2025-41237 | 8.4 | Important | ESXi-9.0.0.0100-24813472 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware Tools [1] | 13.0.0.0 | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ<br>VMware ESXi | N/A | 8.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U3f-24784735 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware ESXi | N/A | 8.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U2e-24789317 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware ESXi | N/A | 7.0 | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | None | Additional guidance for updating VMware Tools asynchronously is available in the FAQ.<br>VMware Workstation | N/A | 17.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 9.3, 9.3, 7.1 | Critical | 17.6.4 | None | FAQ<br>VMware Fusion | N/A | 13.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 9.3, 9.3, 7.1 | Critical | 13.6.4 | None | FAQ<br>VMware Cloud Foundation | N/A | 5.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | Async patch to ESXi80U3f-24784735 | None | Async Patching Guide: KB88287<br>VMware Cloud Foundation | N/A | 4.5.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | Async patch to ESXi70U3w-24784741 | None | Async Patching Guide: KB88287<br>VMware Telco Cloud Platform | N/A | 5.x, 4.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi80U3f-24784735 | None | FAQ<br>VMware Telco Cloud Platform | N/A | 3.x, 2.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | None | FAQ<br>VMware Telco Cloud Infrastructure | N/A | 3.x, 2.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | ESXi70U3w-24784741 | FAQ<br>VMware Tools [1] | N/A | 13.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 13.0.1.0 | None | FAQ<br>VMware Tools [1] | N/A | 12.x.x, 11.x.x | Windows | CVE-2025-41239 | 6.2 | Moderate | 12.5.3 [2] | None | FAQ<br>VMware Tools | N/A | 13.x.x, 12.x.x, 11.x.x | Linux | CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A<br>VMware Tools | N/A | 13.x.x, 12.x.x, 11.x.x | macOS | CVE-2025-41239 | N/A | N/A | Unaffected | N/A | N/A"
"5","20","VCDSA23408","VMSA-2012-0005:VMware vCenter Server, Orchestrator, Update Manager, vShield, vSphere Client, ESXi and ESX address several security issues","HIGH","","13 March 2012","CVE-2012-1508; CVE-2012-1509; CVE-2012-1510; CVE-2012-1512; CVE-2012-1513; CVE-2012-1514; CVE-2011-3190; CVE-2011-3375; CVE-2012-0022; CVE-2010-0405","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23408","vCenter Server | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>vCenter Server | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 500 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 410 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 400 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 4 | N/A | N/A | N/A | N/A | N/A | N/A | <br>ESXi | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | <br>VMware Tools | 5 | N/A | N/A | N/A | N/A | N/A | N/A | "
"12.x.x, 11.x.x","21","VCDSA25683","VMSA-2025-0007: VMware Tools update addresses an insecure file handling vulnerability (CVE-2025-22247)","MEDIUM","6.1","12 May 2025","CVE-2025-22247CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247 CVE-2025-22247","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25683","VMware Tools | 12.x.x, 11.x.x | Windows | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [1] | None | None<br>VMware Tools [2] | 12.x.x, 11.x.x | Linux | CVE-2025-22247 | 6.1 | Moderate | 12.5.2 [3] | None | None<br>VMware Tools | 12.x.x, 11.x.x | macOS | CVE-2025-22247 | N/A | N/A | Unaffected | N/A | N/A"
